Age_1,Age_2,Age_3,Age_4,Age_5,Age_6,Age_7,Age_8,Age_9,Age_10,Age_11,Age_12,Age_13,Age_14,Age_15,Age_16,Age_17,Age_18,Age_19,Age_20,Age_21,Age_22,Age_23,Age_24,Age_25,Age_26,Age_27,Age_28,Age_29,Age_30,Age_31,Age_32,Age_33,Age_34
,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,95,,86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,92,,88,88,88,82,78,75,73,73,72,,,,,,,,,,,,,,,,,,,,,,
,98,98,96,95,94,93,92,90,84,80,,,,,,,,,,,,,,,,,,,,,,,
97,95,85,84,82,77,73,68,66,,,,,,,,,,,,,,,,,,,,,,,,,
97,95,85,84,82,77,73,68,66,,,,,,,,,,,,,,,,,,,,,,,,,
97,95,85,84,82,77,73,68,66,,,,,,,,,,,,,,,,,,,,,,,,,
97,95,85,83,79,77,62,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,71,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,71,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,85,84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,97,97,97,89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,97,89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,80,75,73,71,71,70,67,66,,,,,,,,,,,,,,,,,,,,,,,,,
87,80,75,73,71,71,70,67,,,,,,,,,,,,,,,,,,,,,,,,,,
95,84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,89,86,86,85,84,80,73,70,69,65,,,,,,,,,,,,,,,,,,,,,,,
100,94,91,79,74,73,70,69,65,,,,,,,,,,,,,,,,,,,,,,,,,
94,90,78,74,73,70,69,65,,,,,,,,,,,,,,,,,,,,,,,,,,
100,73,70,69,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,73,70,69,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,93,89,85,84,82,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,96,91,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,96,91,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,99,98,97,95,95,94,90,88,84,81,,,,,,,,,,,,,,,,,,,,,,,
98,98,97,97,95,95,95,93,93,,,,,,,,,,,,,,,,,,,,,,,,,
99,98,98,95,91,90,88,87,83,83,81,,,,,,,,,,,,,,,,,,,,,,,
99,98,98,95,91,90,88,87,83,83,81,,,,,,,,,,,,,,,,,,,,,,,
99,98,98,95,91,90,88,87,83,83,81,,,,,,,,,,,,,,,,,,,,,,,
99,98,98,95,91,90,88,87,83,83,81,,,,,,,,,,,,,,,,,,,,,,,
100,98,93,89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,98,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,98,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,95,85,84,82,79,71,67,66,,,,,,,,,,,,,,,,,,,,,,,,,
97,95,85,84,82,79,71,67,66,,,,,,,,,,,,,,,,,,,,,,,,,
97,95,85,84,82,79,71,67,66,,,,,,,,,,,,,,,,,,,,,,,,,
97,95,85,83,79,77,67,63,,,,,,,,,,,,,,,,,,,,,,,,,,
